Ref,Val,Package,PosX,PosY,Rot,Side
"U45","BM1362AC_MODE1","BM1362AC",138.460000,-161.125000,0.000000,top
"U46","BM1362AC_MODE0","BM1362AC",138.460000,-174.815000,0.000000,top
"U47","BM1362AC_MODE1","BM1362AC",138.460000,-188.495000,0.000000,top
"U54","BM1362AC_MODE1","BM1362AC",159.990000,-188.505000,180.000000,top
"U55","BM1362AC_MODE0","BM1362AC",159.990000,-174.835000,180.000000,top
"U56","BM1362AC_MODE1","BM1362AC",160.010000,-161.155000,180.000000,top
"U63","BM1362AC_MODE1","BM1362AC",181.500000,-161.155000,0.000000,top
"U64","BM1362AC_MODE0","BM1362AC",181.500000,-174.835000,0.000000,top
"U65","BM1362AC_MODE1","BM1362AC",181.500000,-188.525000,0.000000,top
"U72","BM1362AC_MODE1","BM1362AC",203.050000,-188.615000,180.000000,top
"U73","BM1362AC_MODE0","BM1362AC",203.050000,-174.925000,180.000000,top
"U74","BM1362AC_MODE1","BM1362AC",203.050000,-161.245000,180.000000,top
"Y1","12MHz","XTAL_ECS-120-20-33-CKM-TR3",221.270807,-104.185000,90.000000,top
